"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey",AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
4.0,MediumPhytoplankton,NaN,0.019872602,0.050436005,0.03227262,0.008383715,0.014851409,0.031885687,NaN,0.040017165,0.090752274,0.0,0.018496867,0.024185011,0.037910998,0.029967321,0.04432081,NaN,0.03393531
4.0,MediumZooplankton,NaN,0.0020599845,0.0042167786,0.002315342,0.0015770677,0.0024396672,0.005397473,NaN,0.0042531695,0.006589092,6.30378E-4,8.863409E-4,0.0029228153,0.0030660995,0.0020258168,0.003472066,NaN,0.0017677373
4.0,SmallPhytoplankton,NaN,0.0013802685,0.0013673797,0.0022280738,0.0,0.001047432,0.0,NaN,0.0031008264,8.222933E-4,0.0,0.0,4.1063782E-4,0.0021131553,0.0,0.0025091693,NaN,0.0042021484
4.0,SmallZooplankton,NaN,33.061226,32.012077,66.58857,0.0,36.924267,0.0,NaN,69.62586,26.663113,0.0,0.0,26.265045,58.918377,0.0,63.837536,NaN,70.99141
5.0,AtlanticHerring,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0
5.0,AtlanticMackerel,NaN,0.4262723,0.76926476,0.16510308,0.816616,1.1274331,0.034723584,NaN,0.56793195,0.20185013,0.21074376,0.6229837,1.5419871,0.081677325,0.0050843563,5.423638E-8,NaN,4.0689298E-7
5.0,BlackSeaBass,NaN,0.037065405,0.3864866,0.18509501,1.1505939,0.34665462,0.20587264,NaN,0.15270333,0.8203914,5.479487E-4,1.2386574,0.8257917,0.056592528,0.019360216,0.07726424,NaN,0.056238048
5.0,Scup,NaN,0.016806858,0.0036804075,0.001320516,0.05300047,0.011569379,0.023612363,NaN,0.002028895,0.0065444466,0.0013178266,0.05208798,0.012712864,5.5037334E-4,0.0015177923,1.1325322E-9,NaN,1.9055121E-6
5.0,SpinyDogfish,NaN,0.0,7.0505603E-6,0.0,0.45226496,9.177768E-6,5.479685E-4,NaN,0.0,0.0,2.2431914E-13,0.08560204,2.9126395E-6,0.0,0.0,0.0,NaN,0.0
5.0,StripedBass,NaN,0.015113825,0.28352943,0.0,1.0548229,1.6225923,0.028698727,NaN,0.95959246,0.15619542,9.3474035E-4,1.3622564,0.4066051,0.39139846,0.051255334,0.48271826,NaN,1.9949593E-4
5.0,Goosefish,NaN,0.36404106,1.3873825,0.6742965,2.1996627,0.3464673,2.4011276,NaN,0.16238226,2.4810421,2.5255537,1.258585,4.5472627,2.5226327E-4,0.3452443,9.2692534E-4,NaN,1.1308763E-6
5.0,Haddock,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0
5.0,WinterFlounder,NaN,0.5473375,0.28500608,0.08153341,1.0292366,1.7000574,0.232696,NaN,2.3907785,0.7318115,0.014309454,0.65413016,0.22521365,1.1355586,0.08291771,1.7999829,NaN,4.9633727
5.0,Squids,NaN,0.25069776,0.08008089,0.04333888,1.491141,0.059050787,0.075711995,NaN,0.0017932873,0.5094568,0.008693021,0.80343276,1.017629,0.0010937895,0.05876517,0.0018228105,NaN,0.0
